"","TweetId","Text"
"141",1362914585829928960,"How Texas’ Power Generation Failed During the Storm, In Charts - The New York Times https://t.co/8fxBcsY8Nh"
"142",1362914580377325568,"All Gore said that by 2010 (1) Manhattan would be completely under water (2) Gas would cost $16 per gallon and Milk $13 per gallon.  Then when people ran out and contributed millions to his fund to stop the above, Al bought big house on the water front and two gas guzzling SUV's. https://t.co/tMDxOYpEHy"
"143",1362914579173412864,"@Lisa_Wilkinson @ScottMorrisonMP @lindareynoldswa Tells story on liberals last 8yrs in power more more Secrets hidden still in the cupboard Canberra bubble so any Murdoch use intelligence to tell more on liberals lies"
"144",1362914577550217216,"#Jann my sweatshirt arrived! #HORSESHIT #StopLiveHorseExport

These SWEET loving #horses are shipped ALIVE over 2-3 days with NO FOOD NO WATER to #Japan in a cramped box 📦 for fresh #horsemeat #sushi 🐴 🍣 😭 
Many arrive severely injured🩸 or dead ☠️ 
Please sign ⬇️ #Canada 🇨🇦 https://t.co/m9om53Vdle https://t.co/M0UKJA7vFI"
"145",1362914577550217216,"#Jann my sweatshirt arrived! #HORSESHIT #StopLiveHorseExport

These SWEET loving #horses are shipped ALIVE over 2-3 days with NO FOOD NO WATER to #Japan in a cramped box 📦 for fresh #horsemeat #sushi 🐴 🍣 😭 
Many arrive severely injured🩸 or dead ☠️ 
Please sign ⬇️ #Canada 🇨🇦 https://t.co/m9om53Vdle https://t.co/M0UKJA7vFI"
"146",1362914576380043264,"Signal No. 1 up in 25 areas as Tropical Storm #AuringPH is expected to landfall on Sunday. Keep safe, everyone! 🙏 

https://t.co/QCIGgoExEB"
"147",1362914575302057984,"早稲田人科も英語で足切りあるん？？"
"148",1362914573406195712,"Texas finally gets some snow and now everyone in the gym like it’s New Years again"
"149",1362914572454232064,"Why is it no one is asking Biden what he is doing for Texas?  Why haven’t they repaired the water issue?  Why is the electrical grid under strain?  Why are citizens of this country (and other countries) going hungry C’mon Biden. You should have fixed this before it happened."
"150",1362914570268991488,"Power, los q eligen Makima no se bancarian una mina así ni de onda. 

POWER BEST GIRL, me arrodillo ante ella 🙏💖 https://t.co/8xYZGrqJw8"
"151",1362914558592094208,"@BlackMudblood Comprar dice. En esta casa no se le da más dinero a Blizzard tras los de censurar a ese jugador por apoyar las protestas."
"152",1362914558592094208,"@BlackMudblood Comprar dice. En esta casa no se le da más dinero a Blizzard tras los de censurar a ese jugador por apoyar las protestas."
"153",1362914555421057024,"@siro05532646 甘いものは心を癒やしてくれる。
甘いものは心に余裕をくれる。
甘いものは優しさを生む。
だから甘いものは世界を平和にするのじゃ。

だから我が身に脂肪がつくことなど気にしない。
気にしないんだからぁぁぁぁっ！"
"154",1362914555421057024,"@siro05532646 甘いものは心を癒やしてくれる。
甘いものは心に余裕をくれる。
甘いものは優しさを生む。
だから甘いものは世界を平和にするのじゃ。

だから我が身に脂肪がつくことなど気にしない。
気にしないんだからぁぁぁぁっ！"
"155",1362914553814786048,"Trader Joe’s in Metairie is out of basically everything because their goods come from Texas and the trucks aren't able to travel due to the weather

Still a lot of wine and beer doe 🍷 https://t.co/z7i2lDOXpD"
"156",1362914553814786048,"Trader Joe’s in Metairie is out of basically everything because their goods come from Texas and the trucks aren't able to travel due to the weather

Still a lot of wine and beer doe 🍷 https://t.co/z7i2lDOXpD"
"157",1362914551595941888,"god. theoretically texas is warming up but there will be another deep freeze tonight so like. time to keep being careful"
